iter	Logloss
0	0.6463969723
1	0.6047090384
2	0.5682713435
3	0.5351550762
4	0.5071363344
5	0.4817828503
6	0.4562810542
7	0.4367056627
8	0.4141559391
9	0.3949422312
10	0.3788774931
11	0.3635573335
12	0.3498243604
13	0.3387993194
14	0.3232103494
15	0.310486783
16	0.3007710635
17	0.2892822853
18	0.2806956113
19	0.2716501257
20	0.2638040899
21	0.2533685244
22	0.2473136986
23	0.2392399547
24	0.2314859118
25	0.227358074
26	0.2211149865
27	0.216415028
28	0.2095231486
29	0.2038704799
30	0.1989850474
31	0.1951331254
32	0.1921595898
33	0.1883166806
34	0.1839541341
35	0.1782043164
36	0.1736576374
37	0.1705845424
38	0.168214798
39	0.1653270721
40	0.16365766
41	0.1613781269
42	0.1579960205
43	0.1547920625
44	0.1527544588
45	0.1506179453
46	0.1488109631
47	0.1467730134
48	0.1450404492
49	0.142393196
